equipment_id,recipe_first,recipe_last,batch_id_last,start_time_last,end_time_first,failure_first,failure_last,sensor_0_sensor_value_avg_min_first,sensor_0_sensor_value_avg_max_first,sensor_0_sensor_value_avg_count_first,sensor_0_sensor_value_avg_avg_first,sensor_0_sensor_value_avg_stddev_first,sensor_1_sensor_value_avg_min_first,sensor_1_sensor_value_avg_max_first,sensor_1_sensor_value_avg_count_first,sensor_1_sensor_value_avg_avg_first,sensor_1_sensor_value_avg_stddev_first,sensor_2_sensor_value_avg_min_first,sensor_2_sensor_value_avg_max_first,sensor_2_sensor_value_avg_count_first,sensor_2_sensor_value_avg_avg_first,sensor_2_sensor_value_avg_stddev_first,sensor_3_sensor_value_avg_min_first,sensor_3_sensor_value_avg_max_first,sensor_3_sensor_value_avg_count_first,sensor_3_sensor_value_avg_avg_first,sensor_3_sensor_value_avg_stddev_first,sensor_4_sensor_value_avg_min_first,sensor_4_sensor_value_avg_max_first,sensor_4_sensor_value_avg_count_first,sensor_4_sensor_value_avg_avg_first,sensor_4_sensor_value_avg_stddev_first,sensor_5_sensor_value_avg_min_first,sensor_5_sensor_value_avg_max_first,sensor_5_sensor_value_avg_count_first,sensor_5_sensor_value_avg_avg_first,sensor_5_sensor_value_avg_stddev_first,sensor_6_sensor_value_avg_min_first,sensor_6_sensor_value_avg_max_first,sensor_6_sensor_value_avg_count_first,sensor_6_sensor_value_avg_avg_first,sensor_6_sensor_value_avg_stddev_first,sensor_7_sensor_value_avg_min_first,sensor_7_sensor_value_avg_max_first,sensor_7_sensor_value_avg_count_first,sensor_7_sensor_value_avg_avg_first,sensor_7_sensor_value_avg_stddev_first,sensor_8_sensor_value_avg_min_first,sensor_8_sensor_value_avg_max_first,sensor_8_sensor_value_avg_count_first,sensor_8_sensor_value_avg_avg_first,sensor_8_sensor_value_avg_stddev_first,count_first,rank
equipment_0,program_1,program_38,batch_158,2018-02-04T01:23:18.000Z,2018-02-02T02:50:59.000Z,0,0,0.8116287,1.515141,7,1.226896757142857,0.3585439586009962,0.0,0.2151184,8985,0.010068565920809678,0.030313007651741348,0.01526642,0.03701019,4,0.021451949999999997,0.010437283794694862,23.89059,50.952040000000004,8,33.738225,12.88438067589924,,,0,,,0.0,0.08114624,675,0.023882412287214817,0.02585824000526783,24.15286,34.55103,8,27.0990375,3.589035652419144,25.19695,30.880129999999998,7,26.89647857142857,2.080750038779515,0.0,0.2980804,988,0.055601322048076926,0.08346464201907912,10097,2
equipment_0,program_38,program_12,batch_97,2018-02-04T06:34:23.000Z,2018-02-04T04:37:28.000Z,0,0,0.2549225,10.0,68,1.655387104411765,2.038396016855269,0.0,4.537109,6131,0.14218882226757218,0.7451964303766732,0.0,40.08755,131,18.524266197709924,14.471954364594696,41.17049,80.3293,89,70.05852516853933,6.719890307011938,0.0,65.43014000000001,163,55.6896853619632,15.103407043080184,0.0,100.0,694,23.495349492314773,24.887861195251595,45.44913,81.66045,17,73.62100764705882,10.541103589499377,41.55171,81.91589,67,68.81123776119404,6.698984115833563,0.0,68.2798,1494,23.781202601910305,21.324001029478982,7002,3
equipment_0,program_12,program_29,batch_310,2018-02-06T00:37:13.000Z,2018-02-04T10:57:59.000Z,0,0,0.8447386999999998,0.8891876,4,0.8685428249999999,0.01953440128890145,0.0,0.2064209,6359,0.007962348779518787,0.025976015873059304,,,0,,,28.840709999999998,33.762859999999996,5,31.063304,1.9675520422926565,,,0,,,0.0,0.08978271,330,0.022743826169090913,0.025689318755054057,23.77649,29.036440000000002,5,25.87888,2.1035794269054846,25.14426,29.27095,5,26.856614,1.657182594927306,0.0,0.1019287,403,0.030260961741935488,0.03479215966617018,6774,4
equipment_0,program_29,program_12,batch_98,2018-02-06T18:54:19.000Z,2018-02-06T03:10:03.000Z,0,0,0.3046448,10.0,103,2.117966145145631,2.3016838464307474,0.0,32.95113,4730,6.698390575361078,7.214861965086749,0.0,64.52193,499,30.01105892002004,22.91393846882078,31.61253,79.42979,205,66.09354465853659,10.701315395065038,0.0,81.12808000000001,651,65.40458509754224,19.331858061439284,0.0,100.0,2397,37.901108637188244,26.239671868689907,40.63878,81.76462,67,69.0526928358209,11.382847907932781,33.72772,79.86621,132,64.45069431818182,10.666304730289122,0.0,68.70139,3291,33.76139718873382,22.269574320732186,6740,5
equipment_0,program_12,program_38,batch_153,2018-02-06T22:00:22.000Z,2018-02-06T22:19:02.000Z,0,0,0.1772003,10.0,113,2.0690684969026547,2.5261015586351676,0.0,33.109770000000005,5938,5.2913163129462015,6.4488848801181,0.0,56.825959999999995,592,18.82196417751351,15.003654876388525,28.986759999999997,79.42699,248,66.69746923387096,10.457978272298126,0.0,89.06963,546,52.10407880320513,19.741507186024087,0.0,100.0,2865,48.47923781110116,26.772946022350844,40.52991,81.71025,99,69.03534444444445,11.588923907256886,29.94003,80.67648,144,64.752504375,10.388309838778383,0.0,69.22308000000001,5057,33.55003330264492,17.618138500035126,8722,6
equipment_0,program_38,program_12,batch_15,2018-02-08T06:26:34.000Z,2018-02-08T09:30:57.000Z,0,0,0.1772003,10.0,727,2.032621263342503,2.335692138901363,0.0,40.06917,61741,3.355547676447039,6.058207595942471,0.0,66.3514,3232,23.456313340597774,19.052190716834794,27.499540000000003,84.19202,1811,65.50839042425916,11.671686323887489,0.0,88.52741,3284,55.562677565744515,21.372082804544746,0.0,100.0,17500,41.55398655885933,29.587452147061644,23.60139,82.11461,914,67.49907048322392,12.359644706839202,24.9115,82.13475,1023,62.31640416585207,10.94443522612243,0.0,78.57004,25373,35.24406163330341,19.489783686552215,74741,7
equipment_0,program_12,program_38,batch_197,2018-02-08T09:33:02.000Z,2018-02-08T09:34:18.000Z,0,0,0.27906640000000005,10.0,77,1.5282201733766234,2.1172137530278436,0.0,31.5899,4959,6.486094118280858,7.098802681327729,0.0,65.59055,442,28.415233950226245,22.356614188609246,28.455,84.19202,226,66.02389453539824,10.973417466016942,0.0,86.99994000000001,578,62.08993540692041,21.829054819227917,0.0,100.0,2389,40.61570136655249,27.521694313704813,40.36481,81.92586,80,68.015467875,11.470256668917651,32.28011,79.3197,102,60.04492343137255,12.243202818018398,0.0,70.73799,2903,35.890807132719246,21.437324857310912,6875,8
equipment_0,program_38,program_29,batch_234,2018-02-08T15:56:03.000Z,2018-02-08T13:38:36.000Z,0,0,0.24196929999999997,10.0,144,1.785060411111111,2.403129392394735,0.0,32.36858,6614,4.674687151634912,6.563720221741837,0.0,80.179,612,35.60712089547386,27.638224675116263,27.197940000000003,79.95709000000001,299,66.4338989799331,10.524394597532138,0.0,89.82345,831,69.5944297791817,22.055866160571174,0.0,100.0,3206,42.49333937324454,29.02031642538126,40.23907,82.50357,110,72.85392336363637,10.122640617934321,35.97867,80.2278,204,66.10478333333333,9.779253287335376,0.0,70.23312,4678,37.74398390334973,20.57045973217801,9616,9
equipment_0,program_29,program_23,batch_280,2018-02-08T22:52:49.000Z,2018-02-08T18:32:29.000Z,0,0,0.8857543,0.9427504999999999,2,0.9142524,0.04030239952186466,0.0,0.2084656,2884,0.010512308250412623,0.030447217028671033,0.0,0.09484863,2,0.047424315,0.0670681094592538,33.9893,36.024,2,35.00665,1.4387501676802688,,,0,,,0.0,0.08094788,206,0.024704386727669902,0.025616506314583648,29.029459999999997,38.17305,3,33.24232333333333,4.613870971974982,30.7469,37.6799,3,33.98758333333333,3.488495628610326,0.0,0.1011047,234,0.030420938782051283,0.03574819520567885,3187,10
equipment_0,program_23,program_1,batch_219,2018-02-09T07:08:17.000Z,2018-02-09T02:52:48.000Z,0,1,0.41760859999999994,10.0,76,2.38768697631579,2.629867721713221,0.0,36.33318,6842,5.5886831031784086,7.165078901293243,0.0,68.56458,471,27.173655660934184,22.710213858775653,27.52246,79.02316,207,60.169465169082116,13.837290713564062,0.0,83.21101,678,62.01026379261063,20.810733080158855,0.0,100.0,2836,44.39343650568522,27.795603254085854,37.31085,81.53461999999999,111,63.16730243243242,13.398570769145573,28.18105,79.2226,91,55.81950142857142,14.295660472643405,0.0,68.75426999999999,3562,38.044215881629704,21.868086573875672,9068,11
